To	O
better	O
understand	O
the	O
RNA	O
-	O
binding	B-FUNC
properties	O
of	O
this	O
multifunctional	O
protein	O
,	O
the	O
N	O
protein	O
was	O
expressed	O
in	O
Escherichia	O
coli	O
as	O
a	O
chimeric	O
protein	O
fused	O
to	O
glutathione	O
-	O
S	O
-	O
transferase	O
(	O
GST	O
).	O

Characterization	O
of	O
the	O
cleavage	O
activity	O
revealed	O
that	O
the	O
proteinase	B-FUNC
is	O
active	O
on	O
this	O
scissile	O
bond	O
when	O
expressed	O
in	O
vitro	O
in	O
rabbit	O
reticulocyte	O
lysates	O
and	O
can	O
act	O
on	O
the	O
same	O
substrate	O
in	O
trans	O
when	O
expressed	O
in	O
intact	O
cells	O
.	O

Acute	O
peritonitis	O
was	O
induced	O
in	O
36	O
rabbits	O
by	O
intraperitoneal	O
injection	O
of	O
zymosan	O
(	O
0	O
.	O
6	O
g	O
/	O
kg	O
)	O
suspended	O
in	O
mineral	O
oil	O
;	O
20	O
were	O
pretreated	O
with	O
a	O
murine	O
-	O
specific	O
IgG2a	O
anti	O
-	O
CD18	O
monoclonal	O
antibody	B-FUNC
,	O
16	O
(	O
controls	O
)	O
with	O
nonspecific	O
purified	O
murine	O
IgG	O
(	O
1	O
mg	O
/	O
kg	O
).	O

ABSTRACT	O
:	O
Previously	O
,	O
we	O
have	O
reported	O
protective	O
vaccination	O
of	O
mice	O
against	O
a	O
coronavirus	O
infection	O
using	O
rabbit	O
polyclonal	O
noninternal	O
image	O
Ab2gamma	O
anti	O
-	O
idiotypic	O
(	O
anti	O
-	O
Id	O
)	O
antibody	B-FUNC
specific	O
for	O
a	O
virus	O
-	O
neutralizing	O
and	O
protective	O
monoclonal	O
antibody	B-FUNC
(	O
mAb	O
)	O
7	O
-	O
10A	O
against	O
the	O
viral	O
surface	O
S	O
glycoprotein	O
.	O

ABSTRACT	O
:	O
A	O
582	O
-	O
base	B-FUNC
pair	I-FUNC
segment	O
located	O
in	O
the	O
nucleocapsid	O
protein	O
terminal	O
part	O
of	O
the	O
S1	O
gene	O
of	O
26	O
Arkansas	O
(	O
Ark	O
)-	O
type	O
infectious	O
bronchitis	O
virus	O
(	O
IBV	O
)	O
isolates	O
from	O
Mississippi	O
broilers	O
was	O
amplified	O
and	O
sequenced	O
.	O

This	O
result	O
suggests	O
that	O
the	O
recombinant	O
PAS16	O
antibody	B-FUNC
can	O
be	O
applicable	O
for	O
the	O
rapid	O
immunohistochemical	O
diagnosis	O
of	O
PEDV	O
infection	O
.	O

This	O
nonapeptide	O
contains	O
a	O
functional	O
O	O
-	O
glycosylation	O
signal	O
as	O
well	O
as	O
an	O
epitope	O
recognized	O
by	O
an	O
MHV	O
-	O
specific	O
monoclonal	O
antibody	B-FUNC
,	O
both	O
of	O
which	O
were	O
expressed	O
by	O
the	O
recombinant	O
virus	O
.	O

In	O
order	O
to	O
identify	O
domains	O
in	O
the	O
N	O
protein	O
that	O
bind	B-FUNC
to	O
RNA	O
,	O
the	O
whole	O
protein	O
(	O
409	O
amino	O
acids	O
)	O
and	O
six	O
overlapping	O
fragments	O
were	O
expressed	O
as	O
fusion	O
polypeptides	O
with	O
six	O
histidine	O
-	O
tags	O
.	O

The	O
lower	O
molarities	O
of	O
the	O
carboxyl	O
fragment	O
compared	O
with	O
residue	O
1	O
-	O
274	O
fragment	O
needed	O
for	O
equivalent	O
shifts	O
suggested	O
that	O
the	O
binding	B-FUNC
avidity	O
for	O
RNA	O
at	O
the	O
carboxyl	O
domain	O
was	O
greater	O
than	O
the	O
amino	O
domain	O
.	O

TITLE	O
:	O
Structure	O
-	O
activity	O
relationships	O
and	O
binding	B-FUNC
mode	O
of	O
styrylquinolines	O
as	O
potent	O
inhibitors	O
of	O
HIV	O
-	O
1	O
integrase	O
and	O
replication	O
of	O
HIV	O
-	O
1	O
in	O
cell	O
culture	O
.	O

The	O
poly	O
(	O
A	O
)	O
tail	O
was	O
required	O
for	O
binding	B-FUNC
of	O
the	O
73	O
-	O
kDa	O
protein	O
.	O

The	O
cattle	O
with	O
HI	O
antibody	B-FUNC
titers	O
of	O
>	O
or	O
=	O
160	O
and	O
the	O
SN	O
titers	O
of	O
>	O
or	O
=	O
640	O
showed	O
no	O
clinical	O
signs	O
,	O
but	O
